lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp. M2	0	0.00000	0	0.00000	0	0.00000	63	0.00001	0	0.00000	0	0.00000	27	0.00001
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia bronchialis	35	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Salinimonas;s__Salinimonas sp. G2-b	0	0.00000	11	0.00000	637	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter tropicus	46	0.00001	0	0.00000	2523	0.00073	0	0.00000	35	0.00001	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella adelaidensis	526	0.00013	0	0.00000	88	0.00003	0	0.00000	293	0.00004	0	0.00000	39	0.00001
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga thermotolerans	286	0.00007	0	0.00000	62	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas syringae group genomosp. 3	0	0.00000	0	0.00000	62	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__Magnetospirillum gryphiswaldense	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algibacter;s__Algibacter alginicilyticus	163	0.00004	0	0.00000	303	0.00009	0	0.00000	174	0.00003	0	0.00000	528	0.00010
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya poaceiphila	0	0.00000	0	0.00000	215	0.00006	32	0.00001	7398	0.00111	0	0.00000	42	0.00001
