lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Clostridia;g_Halanaerobiales;s_Halobacteroidaceae	330	0.00008	837	0.00009	1957	0.00056	0	0.00000	95	0.00001	104	0.00064	11	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Cyanobacteria/Melainabacteria_Group;f_Cyanobacteria;g_Synechococcales;s_Synechococcaceae	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00001
r_Root;p_Bacteria;c_Synergistetes;o_Synergistia;f_Synergistales;g_Synergistaceae;s_Thermovirga	22	0.00001	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Fcb_Group;o_Bacteroidetes/Chlorobi_Group;f_Bacteroidetes;g_Cytophagia;s_Cytophagales	15	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Actinobacteria;f_Actinomycetia;g_Micrococcales;s_Microbacteriaceae	27	0.00001	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Actinobacteria;f_Actinomycetia;g_Streptomycetales;s_Streptomycetaceae	0	0.00000	0	0.00000	0	0.00000	63	0.00001	0	0.00000	0	0.00000	27	0.00001
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Actinobacteria;f_Actinomycetia;g_Corynebacteriales;s_Gordoniaceae	35	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Alteromonadales;g_Alteromonadaceae;s_Salinimonas	0	0.00000	11	0.00000	637	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Fcb_Group;o_Bacteroidetes/Chlorobi_Group;f_Bacteroidetes;g_Chitinophagia;s_Chitinophagales	46	0.00001	0	0.00000	2523	0.00073	0	0.00000	35	0.00001	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Legionellales;g_Legionellaceae;s_Legionella	526	0.00013	0	0.00000	88	0.00003	0	0.00000	293	0.00004	0	0.00000	39	0.00001
